course_clean,total,any_issue,silent_struggle,reached_support,avg_issue_count,any_issue_pct,silent_struggle_pct,reached_support_pct
Laws,2,2,2,0,1.0,100.0,100.0,0.0
Communication,1,1,1,0,3.0,100.0,100.0,0.0
Cts,1,1,1,0,1.0,100.0,100.0,0.0
Diploma Tesl,1,1,1,0,1.0,100.0,100.0,0.0
Economics,1,1,1,0,2.0,100.0,100.0,0.0
Engin,1,1,1,0,1.0,100.0,100.0,0.0
Enm,1,1,1,0,3.0,100.0,100.0,0.0
Human Sciences,1,1,1,0,1.0,100.0,100.0,0.0
IRKHS,1,1,1,0,2.0,100.0,100.0,0.0
It,1,1,1,0,1.0,100.0,100.0,0.0
Kenms,1,1,1,0,1.0,100.0,100.0,0.0
Kop,1,1,1,0,1.0,100.0,100.0,0.0
Law,1,1,1,0,2.0,100.0,100.0,0.0
Malcom,1,1,1,0,1.0,100.0,100.0,0.0
Marine Science,1,1,1,0,3.0,100.0,100.0,0.0
Mhsc,1,1,1,0,2.0,100.0,100.0,0.0
Nursing,1,1,1,0,2.0,100.0,100.0,0.0
Taasl,1,1,1,0,1.0,100.0,100.0,0.0
Usuluddin,1,1,1,0,1.0,100.0,100.0,0.0
KOE,6,5,5,0,1.33,83.33,83.33,0.0
BIT,10,9,8,1,1.7,90.0,80.0,10.0
BENL,3,2,2,0,1.0,66.67,66.67,0.0
Engineering,19,11,10,1,0.84,57.89,52.63,5.26
BCS,18,11,9,2,0.89,61.11,50.0,11.11
Fiqh,2,1,1,0,0.5,50.0,50.0,0.0
Islamic Education,2,1,1,0,0.5,50.0,50.0,0.0
Pendidikan Islam,3,1,1,0,0.67,33.33,33.33,0.0
Psychology,3,2,1,1,1.67,66.67,33.33,33.33
Biomedical Science,4,0,0,0,0.0,0.0,0.0,0.0
KIRKHS,2,0,0,0,0.0,0.0,0.0,0.0
Accounting,1,0,0,0,0.0,0.0,0.0,0.0
Ala,1,1,0,1,2.0,100.0,0.0,100.0
Banking Studies,1,0,0,0,0.0,0.0,0.0,0.0
Biotechnology,1,0,0,0,0.0,0.0,0.0,0.0
Business Administration,1,0,0,0,0.0,0.0,0.0,0.0
Diploma Nursing,1,0,0,0,0.0,0.0,0.0,0.0
Human Resources,1,0,0,0,0.0,0.0,0.0,0.0
Mathemathics,1,0,0,0,0.0,0.0,0.0,0.0
Radiography,1,0,0,0,0.0,0.0,0.0,0.0
